PROJECT ID,SITE ID,SSID,DATE,HOURS_TIMEFRAME,SW_ID,SW_SN,THRESHOLD,BATTERY_PERCENT,CADENCE,SENSITIVITY,NOTES,RAW_STEPS_TIMESTAMP,RAW_STEPS_INTERVAL_LENGTH,BINNED_STEPS_TIMESTAMP,BINNED_STEPS_STEPS_IN_BIN,SOFTWARE_VERSION,EXPORTED
NIL,NIL,pt001,07/08/20,00:00:00-23:59:59,SW4-1563,42301178,1.05024,69,80,8,N/A,2020-07-08 00:03:29,255,2020-07-08 00:00:00,0,StepWatch4 RE 1.1.6,07/10/20
,,,,,,,,,,,,2020-07-08 00:07:44,255,2020-07-08 00:01:00,0,,
,,,,,,,,,,,,2020-07-08 00:11:59,255,2020-07-08 00:02:00,0,,
,,,,,,,,,,,,2020-07-08 00:16:14,255,2020-07-08 00:03:00,0,,
,,,,,,,,,,,,2020-07-08 00:20:29,255,2020-07-08 00:04:00,0,,
,,,,,,,,,,,,2020-07-08 00:24:44,255,2020-07-08 00:05:00,0,,
,,,,,,,,,,,,2020-07-08 00:28:59,255,2020-07-08 00:06:00,0,,
,,,,,,,,,,,,2020-07-08 00:33:14,255,2020-07-08 00:07:00,0,,
,,,,,,,,,,,,2020-07-08 00:37:29,255,2020-07-08 00:08:00,0,,
,,,,,,,,,,,,2020-07-08 00:41:44,255,2020-07-08 00:09:00,0,,
,,,,,,,,,,,,2020-07-08 00:45:59,255,2020-07-08 00:10:00,0,,
,,,,,,,,,,,,2020-07-08 00:50:14,255,2020-07-08 00:11:00,0,,
,,,,,,,,,,,,2020-07-08 00:54:29,255,2020-07-08 00:12:00,0,,
,,,,,,,,,,,,2020-07-08 00:58:44,255,2020-07-08 00:13:00,0,,
,,,,,,,,,,,,2020-07-08 01:02:59,255,2020-07-08 00:14:00,0,,
,,,,,,,,,,,,2020-07-08 01:07:14,255,2020-07-08 00:15:00,0,,
,,,,,,,,,,,,2020-07-08 01:11:29,255,2020-07-08 00:16:00,0,,
,,,,,,,,,,,,2020-07-08 01:15:44,255,2020-07-08 00:17:00,0,,
,,,,,,,,,,,,2020-07-08 01:19:59,255,2020-07-08 00:18:00,0,,
,,,,,,,,,,,,2020-07-08 01:24:14,255,2020-07-08 00:19:00,0,,
,,,,,,,,,,,,2020-07-08 01:28:29,255,2020-07-08 00:20:00,0,,
,,,,,,,,,,,,2020-07-08 01:32:44,255,2020-07-08 00:21:00,0,,
,,,,,,,,,,,,2020-07-08 01:36:59,255,2020-07-08 00:22:00,0,,
,,,,,,,,,,,,2020-07-08 01:41:14,255,2020-07-08 00:23:00,0,,
,,,,,,,,,,,,2020-07-08 01:45:29,255,2020-07-08 00:24:00,0,,
,,,,,,,,,,,,2020-07-08 01:49:44,255,2020-07-08 00:25:00,0,,
,,,,,,,,,,,,2020-07-08 01:53:59,255,2020-07-08 00:26:00,0,,
,,,,,,,,,,,,2020-07-08 01:58:14,255,2020-07-08 00:27:00,0,,
,,,,,,,,,,,,2020-07-08 02:02:29,255,2020-07-08 00:28:00,0,,
,,,,,,,,,,,,2020-07-08 02:06:44,255,2020-07-08 00:29:00,0,,
,,,,,,,,,,,,2020-07-08 02:10:59,255,2020-07-08 00:30:00,0,,
,,,,,,,,,,,,2020-07-08 02:15:14,255,2020-07-08 00:31:00,0,,
,,,,,,,,,,,,2020-07-08 02:19:29,255,2020-07-08 00:32:00,0,,
,,,,,,,,,,,,2020-07-08 02:23:44,255,2020-07-08 00:33:00,0,,
,,,,,,,,,,,,2020-07-08 02:27:59,255,2020-07-08 00:34:00,0,,
,,,,,,,,,,,,2020-07-08 02:32:14,255,2020-07-08 00:35:00,0,,
,,,,,,,,,,,,2020-07-08 02:36:29,255,2020-07-08 00:36:00,0,,
,,,,,,,,,,,,2020-07-08 02:40:44,255,2020-07-08 00:37:00,0,,
,,,,,,,,,,,,2020-07-08 02:44:59,255,2020-07-08 00:38:00,0,,
,,,,,,,,,,,,2020-07-08 02:49:14,255,2020-07-08 00:39:00,0,,
,,,,,,,,,,,,2020-07-08 02:53:29,255,2020-07-08 00:40:00,0,,
,,,,,,,,,,,,2020-07-08 02:57:44,255,2020-07-08 00:41:00,0,,
,,,,,,,,,,,,2020-07-08 03:01:59,255,2020-07-08 00:42:00,0,,
,,,,,,,,,,,,2020-07-08 03:06:14,255,2020-07-08 00:43:00,0,,
,,,,,,,,,,,,2020-07-08 03:10:29,255,2020-07-08 00:44:00,0,,
,,,,,,,,,,,,2020-07-08 03:14:44,255,2020-07-08 00:45:00,0,,
,,,,,,,,,,,,2020-07-08 03:18:59,255,2020-07-08 00:46:00,0,,
,,,,,,,,,,,,2020-07-08 03:23:14,255,2020-07-08 00:47:00,0,,
,,,,,,,,,,,,2020-07-08 03:27:29,255,2020-07-08 00:48:00,0,,
,,,,,,,,,,,,2020-07-08 03:31:44,255,2020-07-08 00:49:00,0,,
,,,,,,,,,,,,2020-07-08 03:35:59,255,2020-07-08 00:50:00,0,,
,,,,,,,,,,,,2020-07-08 03:40:14,255,2020-07-08 00:51:00,0,,
,,,,,,,,,,,,2020-07-08 03:44:29,255,2020-07-08 00:52:00,0,,
,,,,,,,,,,,,2020-07-08 03:48:44,255,2020-07-08 00:53:00,0,,
,,,,,,,,,,,,2020-07-08 03:52:59,255,2020-07-08 00:54:00,0,,
,,,,,,,,,,,,2020-07-08 03:57:14,255,2020-07-08 00:55:00,0,,
,,,,,,,,,,,,2020-07-08 04:01:29,255,2020-07-08 00:56:00,0,,
,,,,,,,,,,,,2020-07-08 04:05:44,255,2020-07-08 00:57:00,0,,
,,,,,,,,,,,,2020-07-08 04:09:59,255,2020-07-08 00:58:00,0,,
,,,,,,,,,,,,2020-07-08 04:14:14,255,2020-07-08 00:59:00,0,,
,,,,,,,,,,,,2020-07-08 04:18:29,255,2020-07-08 01:00:00,0,,
,,,,,,,,,,,,2020-07-08 04:22:44,255,2020-07-08 01:01:00,0,,
,,,,,,,,,,,,2020-07-08 04:26:59,255,2020-07-08 01:02:00,0,,
,,,,,,,,,,,,2020-07-08 04:31:14,255,2020-07-08 01:03:00,0,,
,,,,,,,,,,,,2020-07-08 04:35:29,255,2020-07-08 01:04:00,0,,
,,,,,,,,,,,,2020-07-08 04:39:44,255,2020-07-08 01:05:00,0,,
,,,,,,,,,,,,2020-07-08 04:43:59,255,2020-07-08 01:06:00,0,,
,,,,,,,,,,,,2020-07-08 04:48:14,255,2020-07-08 01:07:00,0,,
,,,,,,,,,,,,2020-07-08 04:52:29,255,2020-07-08 01:08:00,0,,
,,,,,,,,,,,,2020-07-08 04:56:44,255,2020-07-08 01:09:00,0,,
,,,,,,,,,,,,2020-07-08 05:00:59,255,2020-07-08 01:10:00,0,,
,,,,,,,,,,,,2020-07-08 05:05:14,255,2020-07-08 01:11:00,0,,
,,,,,,,,,,,,2020-07-08 05:09:29,255,2020-07-08 01:12:00,0,,
,,,,,,,,,,,,2020-07-08 05:13:44,255,2020-07-08 01:13:00,0,,
,,,,,,,,,,,,2020-07-08 05:17:59,255,2020-07-08 01:14:00,0,,
,,,,,,,,,,,,2020-07-08 05:22:14,255,2020-07-08 01:15:00,0,,
,,,,,,,,,,,,2020-07-08 05:26:29,255,2020-07-08 01:16:00,0,,
,,,,,,,,,,,,2020-07-08 05:30:44,255,2020-07-08 01:17:00,0,,
,,,,,,,,,,,,2020-07-08 05:34:59,255,2020-07-08 01:18:00,0,,
,,,,,,,,,,,,2020-07-08 05:39:14,255,2020-07-08 01:19:00,0,,
,,,,,,,,,,,,2020-07-08 05:43:29,255,2020-07-08 01:20:00,0,,
,,,,,,,,,,,,2020-07-08 05:47:44,255,2020-07-08 01:21:00,0,,
,,,,,,,,,,,,2020-07-08 05:51:59,255,2020-07-08 01:22:00,0,,
,,,,,,,,,,,,2020-07-08 05:56:14,255,2020-07-08 01:23:00,0,,
,,,,,,,,,,,,2020-07-08 06:00:29,255,2020-07-08 01:24:00,0,,
,,,,,,,,,,,,2020-07-08 06:04:44,255,2020-07-08 01:25:00,0,,
,,,,,,,,,,,,2020-07-08 06:08:59,255,2020-07-08 01:26:00,0,,
,,,,,,,,,,,,2020-07-08 06:13:14,255,2020-07-08 01:27:00,0,,
,,,,,,,,,,,,2020-07-08 06:17:29,255,2020-07-08 01:28:00,0,,
,,,,,,,,,,,,2020-07-08 06:21:44,255,2020-07-08 01:29:00,0,,
,,,,,,,,,,,,2020-07-08 06:25:59,255,2020-07-08 01:30:00,0,,
,,,,,,,,,,,,2020-07-08 06:30:14,255,2020-07-08 01:31:00,0,,
,,,,,,,,,,,,2020-07-08 06:34:29,255,2020-07-08 01:32:00,0,,
,,,,,,,,,,,,2020-07-08 06:38:44,255,2020-07-08 01:33:00,0,,
,,,,,,,,,,,,2020-07-08 06:42:59,255,2020-07-08 01:34:00,0,,
,,,,,,,,,,,,2020-07-08 06:47:14,255,2020-07-08 01:35:00,0,,
,,,,,,,,,,,,2020-07-08 06:51:29,255,2020-07-08 01:36:00,0,,
,,,,,,,,,,,,2020-07-08 06:55:44,255,2020-07-08 01:37:00,0,,
,,,,,,,,,,,,2020-07-08 06:59:59,255,2020-07-08 01:38:00,0,,
,,,,,,,,,,,,2020-07-08 07:04:14,255,2020-07-08 01:39:00,0,,
,,,,,,,,,,,,2020-07-08 07:08:29,255,2020-07-08 01:40:00,0,,
,,,,,,,,,,,,2020-07-08 07:12:44,255,2020-07-08 01:41:00,0,,
,,,,,,,,,,,,2020-07-08 07:16:59,255,2020-07-08 01:42:00,0,,
,,,,,,,,,,,,2020-07-08 07:21:14,255,2020-07-08 01:43:00,0,,
,,,,,,,,,,,,2020-07-08 07:25:29,255,2020-07-08 01:44:00,0,,
,,,,,,,,,,,,2020-07-08 07:29:44,255,2020-07-08 01:45:00,0,,
,,,,,,,,,,,,2020-07-08 07:33:59,255,2020-07-08 01:46:00,0,,
,,,,,,,,,,,,2020-07-08 07:38:14,255,2020-07-08 01:47:00,0,,
,,,,,,,,,,,,2020-07-08 07:42:29,255,2020-07-08 01:48:00,0,,
,,,,,,,,,,,,2020-07-08 07:46:44,255,2020-07-08 01:49:00,0,,
,,,,,,,,,,,,2020-07-08 07:50:59,255,2020-07-08 01:50:00,0,,
,,,,,,,,,,,,2020-07-08 07:55:14,255,2020-07-08 01:51:00,0,,
,,,,,,,,,,,,2020-07-08 07:59:29,255,2020-07-08 01:52:00,0,,
,,,,,,,,,,,,2020-07-08 08:03:44,255,2020-07-08 01:53:00,0,,
,,,,,,,,,,,,2020-07-08 08:07:59,255,2020-07-08 01:54:00,0,,
,,,,,,,,,,,,2020-07-08 08:12:14,255,2020-07-08 01:55:00,0,,
