PROJECT ID,SITE ID,SSID,DATE,HOURS_TIMEFRAME,SW_ID,SW_SN,THRESHOLD,BATTERY_PERCENT,CADENCE,SENSITIVITY,NOTES,RAW_STEPS_TIMESTAMP,RAW_STEPS_INTERVAL_LENGTH,BINNED_STEPS_TIMESTAMP,BINNED_STEPS_STEPS_IN_BIN,SOFTWARE_VERSION,EXPORTED
NIL,NIL,P002,07/11/20,00:00:00-23:59:59,SW4-AE9F,42301182,1.05233,60,58,8,N/A,2020-07-11 00:00:32,255,2020-07-11 00:00:00,0,StepWatch4 RE 1.1.6,07/12/20
,,,,,,,,,,,,2020-07-11 00:04:47,255,2020-07-11 00:01:00,0,,
,,,,,,,,,,,,2020-07-11 00:09:02,255,2020-07-11 00:02:00,0,,
,,,,,,,,,,,,2020-07-11 00:13:17,255,2020-07-11 00:03:00,0,,
,,,,,,,,,,,,2020-07-11 00:17:32,255,2020-07-11 00:04:00,0,,
,,,,,,,,,,,,2020-07-11 00:21:47,255,2020-07-11 00:05:00,0,,
,,,,,,,,,,,,2020-07-11 00:26:02,255,2020-07-11 00:06:00,0,,
,,,,,,,,,,,,2020-07-11 00:30:17,255,2020-07-11 00:07:00,0,,
,,,,,,,,,,,,2020-07-11 00:34:32,255,2020-07-11 00:08:00,0,,
,,,,,,,,,,,,2020-07-11 00:38:47,255,2020-07-11 00:09:00,0,,
,,,,,,,,,,,,2020-07-11 00:43:02,255,2020-07-11 00:10:00,0,,
,,,,,,,,,,,,2020-07-11 00:47:17,255,2020-07-11 00:11:00,0,,
,,,,,,,,,,,,2020-07-11 00:51:32,255,2020-07-11 00:12:00,0,,
,,,,,,,,,,,,2020-07-11 00:55:47,255,2020-07-11 00:13:00,0,,
,,,,,,,,,,,,2020-07-11 01:00:02,255,2020-07-11 00:14:00,0,,
,,,,,,,,,,,,2020-07-11 01:04:17,255,2020-07-11 00:15:00,0,,
,,,,,,,,,,,,2020-07-11 01:08:32,255,2020-07-11 00:16:00,0,,
,,,,,,,,,,,,2020-07-11 01:12:47,255,2020-07-11 00:17:00,0,,
,,,,,,,,,,,,2020-07-11 01:17:02,255,2020-07-11 00:18:00,0,,
,,,,,,,,,,,,2020-07-11 01:21:17,255,2020-07-11 00:19:00,0,,
,,,,,,,,,,,,2020-07-11 01:25:32,255,2020-07-11 00:20:00,0,,
,,,,,,,,,,,,2020-07-11 01:29:47,255,2020-07-11 00:21:00,0,,
,,,,,,,,,,,,2020-07-11 01:34:02,255,2020-07-11 00:22:00,0,,
,,,,,,,,,,,,2020-07-11 01:38:17,255,2020-07-11 00:23:00,0,,
,,,,,,,,,,,,2020-07-11 01:42:32,255,2020-07-11 00:24:00,0,,
,,,,,,,,,,,,2020-07-11 01:46:47,255,2020-07-11 00:25:00,0,,
,,,,,,,,,,,,2020-07-11 01:51:02,255,2020-07-11 00:26:00,0,,
,,,,,,,,,,,,2020-07-11 01:55:17,255,2020-07-11 00:27:00,0,,
,,,,,,,,,,,,2020-07-11 01:59:32,255,2020-07-11 00:28:00,0,,
,,,,,,,,,,,,2020-07-11 02:03:47,255,2020-07-11 00:29:00,0,,
,,,,,,,,,,,,2020-07-11 02:08:02,255,2020-07-11 00:30:00,0,,
,,,,,,,,,,,,2020-07-11 02:12:17,255,2020-07-11 00:31:00,0,,
,,,,,,,,,,,,2020-07-11 02:16:32,255,2020-07-11 00:32:00,0,,
,,,,,,,,,,,,2020-07-11 02:20:47,255,2020-07-11 00:33:00,0,,
,,,,,,,,,,,,2020-07-11 02:25:02,255,2020-07-11 00:34:00,0,,
,,,,,,,,,,,,2020-07-11 02:29:17,255,2020-07-11 00:35:00,0,,
,,,,,,,,,,,,2020-07-11 02:33:32,255,2020-07-11 00:36:00,0,,
,,,,,,,,,,,,2020-07-11 02:37:47,255,2020-07-11 00:37:00,0,,
,,,,,,,,,,,,2020-07-11 02:42:02,255,2020-07-11 00:38:00,0,,
,,,,,,,,,,,,2020-07-11 02:46:17,255,2020-07-11 00:39:00,0,,
,,,,,,,,,,,,2020-07-11 02:50:32,255,2020-07-11 00:40:00,0,,
,,,,,,,,,,,,2020-07-11 02:54:47,255,2020-07-11 00:41:00,0,,
,,,,,,,,,,,,2020-07-11 02:59:02,255,2020-07-11 00:42:00,0,,
,,,,,,,,,,,,2020-07-11 03:03:17,255,2020-07-11 00:43:00,0,,
,,,,,,,,,,,,2020-07-11 03:07:32,255,2020-07-11 00:44:00,0,,
,,,,,,,,,,,,2020-07-11 03:11:47,255,2020-07-11 00:45:00,0,,
,,,,,,,,,,,,2020-07-11 03:16:02,255,2020-07-11 00:46:00,0,,
,,,,,,,,,,,,2020-07-11 03:20:17,255,2020-07-11 00:47:00,0,,
,,,,,,,,,,,,2020-07-11 03:24:32,255,2020-07-11 00:48:00,0,,
,,,,,,,,,,,,2020-07-11 03:28:47,255,2020-07-11 00:49:00,0,,
,,,,,,,,,,,,2020-07-11 03:33:02,255,2020-07-11 00:50:00,0,,
,,,,,,,,,,,,2020-07-11 03:37:17,255,2020-07-11 00:51:00,0,,
,,,,,,,,,,,,2020-07-11 03:41:32,255,2020-07-11 00:52:00,0,,
,,,,,,,,,,,,2020-07-11 03:45:47,255,2020-07-11 00:53:00,0,,
,,,,,,,,,,,,2020-07-11 03:50:02,255,2020-07-11 00:54:00,0,,
,,,,,,,,,,,,2020-07-11 03:54:17,255,2020-07-11 00:55:00,0,,
,,,,,,,,,,,,2020-07-11 03:58:32,255,2020-07-11 00:56:00,0,,
,,,,,,,,,,,,2020-07-11 04:02:47,255,2020-07-11 00:57:00,0,,
,,,,,,,,,,,,2020-07-11 04:07:02,255,2020-07-11 00:58:00,0,,
,,,,,,,,,,,,2020-07-11 04:11:17,255,2020-07-11 00:59:00,0,,
,,,,,,,,,,,,2020-07-11 04:15:32,255,2020-07-11 01:00:00,0,,
,,,,,,,,,,,,2020-07-11 04:19:47,255,2020-07-11 01:01:00,0,,
,,,,,,,,,,,,2020-07-11 04:24:02,255,2020-07-11 01:02:00,0,,
,,,,,,,,,,,,2020-07-11 04:28:17,255,2020-07-11 01:03:00,0,,
,,,,,,,,,,,,2020-07-11 04:32:32,255,2020-07-11 01:04:00,0,,
,,,,,,,,,,,,2020-07-11 04:36:47,255,2020-07-11 01:05:00,0,,
,,,,,,,,,,,,2020-07-11 04:41:02,255,2020-07-11 01:06:00,0,,
,,,,,,,,,,,,2020-07-11 04:45:17,255,2020-07-11 01:07:00,0,,
,,,,,,,,,,,,2020-07-11 04:49:32,255,2020-07-11 01:08:00,0,,
,,,,,,,,,,,,2020-07-11 04:53:47,255,2020-07-11 01:09:00,0,,
,,,,,,,,,,,,2020-07-11 04:58:02,255,2020-07-11 01:10:00,0,,
,,,,,,,,,,,,2020-07-11 05:02:17,255,2020-07-11 01:11:00,0,,
,,,,,,,,,,,,2020-07-11 05:06:32,255,2020-07-11 01:12:00,0,,
,,,,,,,,,,,,2020-07-11 05:10:47,255,2020-07-11 01:13:00,0,,
,,,,,,,,,,,,2020-07-11 05:15:02,255,2020-07-11 01:14:00,0,,
,,,,,,,,,,,,2020-07-11 05:19:17,255,2020-07-11 01:15:00,0,,
,,,,,,,,,,,,2020-07-11 05:23:32,255,2020-07-11 01:16:00,0,,
,,,,,,,,,,,,2020-07-11 05:27:47,255,2020-07-11 01:17:00,0,,
,,,,,,,,,,,,2020-07-11 05:32:02,255,2020-07-11 01:18:00,0,,
,,,,,,,,,,,,2020-07-11 05:36:17,255,2020-07-11 01:19:00,0,,
,,,,,,,,,,,,2020-07-11 05:40:32,255,2020-07-11 01:20:00,0,,
,,,,,,,,,,,,2020-07-11 05:44:47,255,2020-07-11 01:21:00,0,,
,,,,,,,,,,,,2020-07-11 05:49:02,255,2020-07-11 01:22:00,0,,
,,,,,,,,,,,,2020-07-11 05:53:17,255,2020-07-11 01:23:00,0,,
,,,,,,,,,,,,2020-07-11 05:57:32,255,2020-07-11 01:24:00,0,,
,,,,,,,,,,,,2020-07-11 06:01:47,255,2020-07-11 01:25:00,0,,
,,,,,,,,,,,,2020-07-11 06:06:02,255,2020-07-11 01:26:00,0,,
,,,,,,,,,,,,2020-07-11 06:10:17,255,2020-07-11 01:27:00,0,,
,,,,,,,,,,,,2020-07-11 06:14:32,255,2020-07-11 01:28:00,0,,
,,,,,,,,,,,,2020-07-11 06:18:47,255,2020-07-11 01:29:00,0,,
,,,,,,,,,,,,2020-07-11 06:23:02,255,2020-07-11 01:30:00,0,,
,,,,,,,,,,,,2020-07-11 06:27:17,255,2020-07-11 01:31:00,0,,
,,,,,,,,,,,,2020-07-11 06:31:32,255,2020-07-11 01:32:00,0,,
,,,,,,,,,,,,2020-07-11 06:35:47,255,2020-07-11 01:33:00,0,,
,,,,,,,,,,,,2020-07-11 06:40:02,255,2020-07-11 01:34:00,0,,
,,,,,,,,,,,,2020-07-11 06:44:17,255,2020-07-11 01:35:00,0,,
,,,,,,,,,,,,2020-07-11 06:48:32,255,2020-07-11 01:36:00,0,,
,,,,,,,,,,,,2020-07-11 06:52:47,255,2020-07-11 01:37:00,0,,
,,,,,,,,,,,,2020-07-11 06:57:02,255,2020-07-11 01:38:00,0,,
,,,,,,,,,,,,2020-07-11 07:01:17,255,2020-07-11 01:39:00,0,,
,,,,,,,,,,,,2020-07-11 07:05:32,255,2020-07-11 01:40:00,0,,
,,,,,,,,,,,,2020-07-11 07:09:47,255,2020-07-11 01:41:00,0,,
,,,,,,,,,,,,2020-07-11 07:14:02,255,2020-07-11 01:42:00,0,,
,,,,,,,,,,,,2020-07-11 07:18:17,255,2020-07-11 01:43:00,0,,
,,,,,,,,,,,,2020-07-11 07:22:32,255,2020-07-11 01:44:00,0,,
,,,,,,,,,,,,2020-07-11 07:26:47,255,2020-07-11 01:45:00,0,,
,,,,,,,,,,,,2020-07-11 07:31:02,255,2020-07-11 01:46:00,0,,
,,,,,,,,,,,,2020-07-11 07:35:17,255,2020-07-11 01:47:00,0,,
,,,,,,,,,,,,2020-07-11 07:39:32,255,2020-07-11 01:48:00,0,,
,,,,,,,,,,,,2020-07-11 07:43:47,255,2020-07-11 01:49:00,0,,
,,,,,,,,,,,,2020-07-11 07:48:02,255,2020-07-11 01:50:00,0,,
,,,,,,,,,,,,2020-07-11 07:52:17,255,2020-07-11 01:51:00,0,,
,,,,,,,,,,,,2020-07-11 07:56:32,255,2020-07-11 01:52:00,0,,
,,,,,,,,,,,,2020-07-11 08:00:47,255,2020-07-11 01:53:00,0,,
,,,,,,,,,,,,2020-07-11 08:05:02,255,2020-07-11 01:54:00,0,,
,,,,,,,,,,,,2020-07-11 08:09:17,255,2020-07-11 01:55:00,0,,
,,,,,,,,,,,,2020-07-11 08:13:32,255,2020-07-11 01:56:00,0,,
,,,,,,,,,,,,2020-07-11 08:17:47,255,2020-07-11 01:57:00,0,,
,,,,,,,,,,,,2020-07-11 08:20:50,183,2020-07-11 01:58:00,0,,
,,,,,,,,,,,,2020-07-11 08:21:18,28,2020-07-11 01:59:00,0,,
,,,,,,,,,,,,2020-07-11 08:21:23,5,2020-07-11 02:00:00,0,,
,,,,,,,,,,,,2020-07-11 08:21:25,2,2020-07-11 02:01:00,0,,
,,,,,,,,,,,,2020-07-11 08:21:28,3,2020-07-11 02:02:00,0,,
,,,,,,,,,,,,2020-07-11 08:25:43,255,2020-07-11 02:03:00,0,,
,,,,,,,,,,,,2020-07-11 08:29:28,225,2020-07-11 02:04:00,0,,
,,,,,,,,,,,,2020-07-11 08:29:31,3,2020-07-11 02:05:00,0,,
,,,,,,,,,,,,2020-07-11 08:29:33,2,2020-07-11 02:06:00,0,,
,,,,,,,,,,,,2020-07-11 08:29:36,3,2020-07-11 02:07:00,0,,
,,,,,,,,,,,,2020-07-11 08:29:39,3,2020-07-11 02:08:00,0,,
,,,,,,,,,,,,2020-07-11 08:29:41,2,2020-07-11 02:09:00,0,,
,,,,,,,,,,,,2020-07-11 08:29:44,3,2020-07-11 02:10:00,0,,
,,,,,,,,,,,,2020-07-11 08:29:46,2,2020-07-11 02:11:00,0,,
,,,,,,,,,,,,2020-07-11 08:29:48,2,2020-07-11 02:12:00,0,,
,,,,,,,,,,,,2020-07-11 08:29:50,2,2020-07-11 02:13:00,0,,
,,,,,,,,,,,,2020-07-11 08:31:49,119,2020-07-11 02:14:00,0,,
,,,,,,,,,,,,2020-07-11 08:31:52,3,2020-07-11 02:15:00,0,,
,,,,,,,,,,,,2020-07-11 08:31:54,2,2020-07-11 02:16:00,0,,
,,,,,,,,,,,,2020-07-11 08:31:55,1,2020-07-11 02:17:00,0,,
,,,,,,,,,,,,2020-07-11 08:31:58,3,2020-07-11 02:18:00,0,,
,,,,,,,,,,,,2020-07-11 08:32:01,3,2020-07-11 02:19:00,0,,
,,,,,,,,,,,,2020-07-11 08:32:02,1,2020-07-11 02:20:00,0,,
,,,,,,,,,,,,2020-07-11 08:32:06,4,2020-07-11 02:21:00,0,,
,,,,,,,,,,,,2020-07-11 08:32:07,1,2020-07-11 02:22:00,0,,
,,,,,,,,,,,,2020-07-11 08:36:22,255,2020-07-11 02:23:00,0,,
,,,,,,,,,,,,2020-07-11 08:39:42,200,2020-07-11 02:24:00,0,,
,,,,,,,,,,,,2020-07-11 08:41:39,117,2020-07-11 02:25:00,0,,
,,,,,,,,,,,,2020-07-11 08:41:59,20,2020-07-11 02:26:00,0,,
,,,,,,,,,,,,2020-07-11 08:42:07,8,2020-07-11 02:27:00,0,,
,,,,,,,,,,,,2020-07-11 08:42:11,4,2020-07-11 02:28:00,0,,
,,,,,,,,,,,,2020-07-11 08:42:38,27,2020-07-11 02:29:00,0,,
,,,,,,,,,,,,2020-07-11 08:45:17,159,2020-07-11 02:30:00,0,,
,,,,,,,,,,,,2020-07-11 08:45:20,3,2020-07-11 02:31:00,0,,
,,,,,,,,,,,,2020-07-11 08:45:22,2,2020-07-11 02:32:00,0,,
,,,,,,,,,,,,2020-07-11 08:45:24,2,2020-07-11 02:33:00,0,,
,,,,,,,,,,,,2020-07-11 08:45:26,2,2020-07-11 02:34:00,0,,
,,,,,,,,,,,,2020-07-11 08:45:29,3,2020-07-11 02:35:00,0,,
,,,,,,,,,,,,2020-07-11 08:45:33,4,2020-07-11 02:36:00,0,,
,,,,,,,,,,,,2020-07-11 08:45:36,3,2020-07-11 02:37:00,0,,
,,,,,,,,,,,,2020-07-11 08:45:38,2,2020-07-11 02:38:00,0,,
,,,,,,,,,,,,2020-07-11 08:45:43,5,2020-07-11 02:39:00,0,,
,,,,,,,,,,,,2020-07-11 08:45:45,2,2020-07-11 02:40:00,0,,
,,,,,,,,,,,,2020-07-11 08:47:52,127,2020-07-11 02:41:00,0,,
,,,,,,,,,,,,2020-07-11 08:48:02,10,2020-07-11 02:42:00,0,,
,,,,,,,,,,,,2020-07-11 08:48:05,3,2020-07-11 02:43:00,0,,
,,,,,,,,,,,,2020-07-11 08:48:07,2,2020-07-11 02:44:00,0,,
,,,,,,,,,,,,2020-07-11 08:48:09,2,2020-07-11 02:45:00,0,,
,,,,,,,,,,,,2020-07-11 08:48:12,3,2020-07-11 02:46:00,0,,
,,,,,,,,,,,,2020-07-11 08:48:14,2,2020-07-11 02:47:00,0,,
,,,,,,,,,,,,2020-07-11 08:48:21,7,2020-07-11 02:48:00,0,,
,,,,,,,,,,,,2020-07-11 08:48:27,6,2020-07-11 02:49:00,0,,
,,,,,,,,,,,,2020-07-11 08:52:42,255,2020-07-11 02:50:00,0,,
,,,,,,,,,,,,2020-07-11 08:56:57,255,2020-07-11 02:51:00,0,,
,,,,,,,,,,,,2020-07-11 09:01:12,255,2020-07-11 02:52:00,0,,
,,,,,,,,,,,,2020-07-11 09:02:22,70,2020-07-11 02:53:00,0,,
,,,,,,,,,,,,2020-07-11 09:06:37,255,2020-07-11 02:54:00,0,,
,,,,,,,,,,,,2020-07-11 09:10:52,255,2020-07-11 02:55:00,0,,
,,,,,,,,,,,,2020-07-11 09:14:32,220,2020-07-11 02:56:00,0,,
,,,,,,,,,,,,2020-07-11 09:17:10,158,2020-07-11 02:57:00,0,,
,,,,,,,,,,,,2020-07-11 09:17:24,14,2020-07-11 02:58:00,0,,
,,,,,,,,,,,,2020-07-11 09:21:39,255,2020-07-11 02:59:00,0,,
,,,,,,,,,,,,2020-07-11 09:25:54,255,2020-07-11 03:00:00,0,,
,,,,,,,,,,,,2020-07-11 09:30:09,255,2020-07-11 03:01:00,0,,
,,,,,,,,,,,,2020-07-11 09:34:24,255,2020-07-11 03:02:00,0,,
,,,,,,,,,,,,2020-07-11 09:38:39,255,2020-07-11 03:03:00,0,,
,,,,,,,,,,,,2020-07-11 09:41:21,162,2020-07-11 03:04:00,0,,
,,,,,,,,,,,,2020-07-11 09:42:52,91,2020-07-11 03:05:00,0,,
,,,,,,,,,,,,2020-07-11 09:43:03,11,2020-07-11 03:06:00,0,,
,,,,,,,,,,,,2020-07-11 09:43:34,31,2020-07-11 03:07:00,0,,
,,,,,,,,,,,,2020-07-11 09:47:49,255,2020-07-11 03:08:00,0,,
,,,,,,,,,,,,2020-07-11 09:52:04,255,2020-07-11 03:09:00,0,,
,,,,,,,,,,,,2020-07-11 09:56:19,255,2020-07-11 03:10:00,0,,
,,,,,,,,,,,,2020-07-11 10:00:34,255,2020-07-11 03:11:00,0,,
,,,,,,,,,,,,2020-07-11 10:04:49,255,2020-07-11 03:12:00,0,,
